"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*anak bahi, anak babahi, anak binahi","acd-s_a1.htm#214","wife-taking lineage"
"*anak buaq","acd-s_a1.htm#215","relative (?)"
"*anak i banua","acd-s_a1.htm#220","fellow villager, fellow community-member"
"*anak i batu","acd-s_a1.htm#221","small stones, gravel"
"*anak i kahiw","acd-s_a1.htm#224","young tree, sprout"
"*anak i lesuŋ","acd-s_a1.htm#225","rice pestle"
"*anak i lima","acd-s_a1.htm#226","little finger, pinkie"
"*anak i manuk","acd-s_a1.htm#227","chick, baby chicken"
"*anak i mata","acd-s_a1.htm#228","pupil of the eye"
"*anak i panaq","acd-s_a1.htm#229","arrow"
"*anak i qaRta","acd-s_a1.htm#230","slave (?)"
"*anak i sumpit","acd-s_a1.htm#231","blowpipe dart"
"*anak i tau","acd-s_a1.htm#232","someone else's child"
"*anak ma-Ruqanay, anak (la)laki","acd-s_a1.htm#217","wife-giving lineage"
"*anak nu mata","acd-s_m.htm#8613","pupil of the eye (‘child of the eye’)"
"*an-anak","acd-s_a1.htm#187","child"
"*aniŋal","acd-s_a1.htm#245","echo"
"*anipa","acd-s_a1.htm#244","large snake sp."
"*a-nu","acd-s_n1.htm#3688","thing whose name is unknown, avoided, or cannot be remembered: what?"
"*a-nu-ku","acd-s_n1.htm#3694","my unnamed thing: mine"
"*a-nu-mu","acd-s_n1.htm#3696","your unnamed thing: yours"
"*a-nu-ni a","acd-s_n1.htm#3698","his/her unnamed thing: his/hers"
"*aNay","acd-s_a1.htm#234","insect of the order : termite, white ant"
"*añam","acd-s_a1.htm#388","plait (mats, baskets, etc.)"
"*añem","acd-s_a1.htm#394","plait, braid"
"*añuliŋ","acd-s_a1.htm#251","a fruit-bearing plant:"
"*aŋaq","acd-s_a1.htm#392","open the mouth wide"
"*aŋay","acd-s_a1.htm#9146","departure (?)"
"*aŋ(e)lem","acd-s_a1.htm#416","stench"
"*apa apa","acd-s_a1.htm#260","something; anything; everything"
"*apa₁","acd-s_a1.htm#256","what?"
"*apa-i","acd-s_a1.htm#259","what?  which?"
"*ampaw","acd-s_a1.htm#167","empty husk (of rice, etc.)"
"*apeled","acd-s_a1.htm#263","taste of unripe banana; slightly bitter or astringent taste"
"*ampu","acd-s_a1.htm#274","grandparent/grandchild (reciprocal)"
"*apuk","acd-s_a1.htm#270","dust"
"*ampun","acd-s_a1.htm#175","pardon, forgiveness"
"*apuni","acd-s_a1.htm#271","tree fern"
"*apuŋ","acd-s_a1.htm#284","float"
"*apuŋ apuŋ","acd-s_a1.htm#285","floating"
"*apuR","acd-s_a1.htm#272","betel chew"
"*aren","acd-s_a1.htm#10956","nobility, member of the chiefly class"
"*aRak","acd-s_a1.htm#289","walk single-file; be positioned one behind the other"
"*aResam","acd-s_a1.htm#296","kind of fern"
"*aRi","acd-s_a1.htm#297","come; toward the speaker; let’s go!"
"*aRuhu","acd-s_a1.htm#301","a shore tree:"
"*asa₁","acd-s_a1.htm#305","one"
"*asat","acd-s_a1.htm#304","dry out, become dry"
"*asu₁","acd-s_a1.htm#320","dog"
"*asu₂","acd-s_a1.htm#324","fetch water, scoop up water"
"*asuk","acd-s_a1.htm#317","smoke, soot"
"*asuŋ","acd-s_a1.htm#325","incite, spur to action"
"*ata","acd-s_a1.htm#333","1pl. incl. possessive pronoun: our"
"*atab","acd-s_a1.htm#12081","a cover"
"*ataŋ₃","acd-s_a1.htm#337","crossbeam"
"*atas","acd-s_a1.htm#27","high, tall"
"*atay","acd-s_a1.htm#34","death"
"*atel","acd-s_a1.htm#340","itch, itchy"
"*aten","acd-s_i1.htm#3009","1p plural absolute possessive pronoun: ours (incl.)"
"*ati₁","acd-s_a1.htm#344","negative marker"
"*atip","acd-s_a1.htm#342","pinch together"
"*a-tu","acd-s_c2.htm#2170","away, outward, forward, onward; towards the hearer"
"*atu","acd-s_a1.htm#7781","away from speaker"
"*atuR","acd-s_a1.htm#12104","stone wall"
"*au₂","acd-s_a1.htm#351","yes"
"*aw","acd-s_s2.htm#5101","question particle"
"*awaŋ","acd-s_a1.htm#358","atmosphere, space between earth and sky"
"*away₁","acd-s_a1.htm#353","beckon with the hand"
"*aya₁","acd-s_a1.htm#369","exclamation of annoyance, surprise, etc."
"*aya₂","acd-s_a1.htm#8678","father’s sister, father’s sister’s husband"
"*ayuŋ₂","acd-s_a1.htm#375","swing, sway, rock"
"*ba₁","acd-s_b.htm#740","conjunction: or, if; perhaps; because"
"*ba₂","acd-s_b.htm#743","interjection or exclamation"
"*ba₃","acd-s_b.htm#745","preposition: at, on, in, to"
"*ba₄","acd-s_b.htm#747","under, below"
"*baba₁","acd-s_b.htm#434","carry a person pick-a-back; ride pick-a-back"
"*baba₂","acd-s_b.htm#436","father"
"*ba-bahi","acd-s_b.htm#6939","woman, female"
"*baban","acd-s_b.htm#420","group, company, collection, swarm"
"*babaq₁","acd-s_b.htm#421","lower surface, bottom; short, low; below, beneath, under"
"*babaw₃","acd-s_b.htm#428","upper surface, top; highlands; on, upon, over, above"
"*babaw₄","acd-s_b.htm#431","to weed (a garden, etc.)"
"*ba-b<in>ahi","acd-s_b.htm#6944","woman; female"
"*babuy banua","acd-s_b.htm#443","domesticated pig"
"*babuy halas","acd-s_b.htm#444","wild pig"
"*babuy lebu","acd-s_b.htm#445","domesticated pig"
"*babuy₃","acd-s_b.htm#441","pig"
"*babuy-an","acd-s_b.htm#442","pigpen, pigsty, piggery"
"*baCaR","acd-f_b.htm#8795","broomcorn millet:"
"*bandaŋan","acd-s_b.htm#622","goat hair decoration on a spear or staff"
"*badas","acd-s_b.htm#450","grit, coarse sand, gravel"
"*badiq","acd-s_b.htm#6437","dagger"
"*bagal","acd-s_b.htm#456","overgrown, clumsy, sluggish"
"*bageqaŋ","acd-s_b.htm#457","molar tooth"
"*bahaq₁","acd-s_b.htm#464","mouth"
"*bahaq₂","acd-s_b.htm#8273","a flood; to overflow, be in flood"
"*bahaR","acd-s_b.htm#7038","loincloth"
"*bahaw","acd-s_b.htm#7067","cold, of leftover food; leftovers from a meal"
"*bahay","acd-s_b.htm#7071","a hairy vine:"
"*bahi","acd-s_b.htm#6935","female, woman, wife; female of animals"
"*bahu","acd-s_b.htm#466","odor, stench"
"*bahuq","acd-s_b.htm#7010","odor; stench"
"*bajaq₂","acd-s_b.htm#6440","tell, inform; ask, inquire"
"*bak₁","acd-s_b.htm#487","clap! smack!"
"*bak₂","acd-s_b.htm#489","negative marker"
"*baka₁","acd-s_b.htm#473","conjunction: despite, nonetheless"
"*baŋkal","acd-s_b.htm#782","a tree:  sp."
"*bakaŋ₁","acd-s_b.htm#9050","bowlegged"
"*bakaq","acd-s_b.htm#471","spread apart, split"
"*baŋkaq","acd-s_b.htm#11292","boat"
"*bakaR","acd-s_b.htm#12662","kind of basket"
"*bakas₁","acd-s_b.htm#806","swift, strong, energetic, fast"
"*bakas₂","acd-s_b.htm#9051","loosen, undo, untie"
"*bakbak₁","acd-s_b.htm#474","peel off, of skin; remove the bark of a tree"
"*bakbak₂","acd-s_b.htm#477","sound of heavy clapping or pounding, smacking sound"
"*bakes₁","acd-s_b.htm#11716","belt, anything that encircles tightly"
"*baku","acd-s_b.htm#12604","scab, crust"
"*bakuŋ₁","acd-s_b.htm#484","a lily-like plant:  L."
"*bakuŋ₂","acd-s_b.htm#485","kind of pandanus"
"*ba(ŋ)kuq","acd-s_b.htm#808","curved, bent"
"*bala₂","acd-s_b.htm#516","pen, enclosure for domesticated animals"
"*bala₃","acd-s_b.htm#518","whatever, whichever"
"*balabaw","acd-s_b.htm#490","rat, mouse"
"*balabuR","acd-s_b.htm#492","blurred, of vision"
"*balalatuk","acd-s_b.htm#12181","a bird, the woodpecker"
"*balan","acd-s_b.htm#501","scratch or wale on the skin"
"*balaŋ₁","acd-s_b.htm#524","scar"
"*balaŋa","acd-s_b.htm#519","shallow earthenware cooking pot or pan"
"*balar","acd-s_b.htm#507","scratch or wale on the skin"
"*balaR₁","acd-s_b.htm#505","pale, unnaturally white"
"*balay","acd-s_b.htm#513","public building, community house, guest house"
"*balbal₁","acd-s_b.htm#528","beating stick; to hit, beat (esp. clothes in washing them)"
"*baleŋ₂","acd-s_b.htm#12648","preserve meat in salt or brine"
"*bales₁","acd-s_b.htm#531","to answer, retaliate; reciprocate good or evil"
"*bales₂","acd-s_b.htm#532","to complete, perfect something"
"*bali₄","acd-s_b.htm#566","lie, deception"
"*bali₅","acd-s_b.htm#568","reverse, turn around"
"*balija","acd-s_b.htm#699","weaver's sword (lath used to beat in and tighten the woof)"
"*baliji","acd-s_b.htm#539","kind of grass"
"*balik₂","acd-s_b.htm#546","reverse, turn around"
"*baliq","acd-s_b.htm#550","fracture, break"
"*baliw₁","acd-s_b.htm#554","dual division, moiety == cluster (a) answer, oppose, opposite side or part; partner, friend, enemy"
"*baliw₂","acd-s_b.htm#560","change, exchange; repeat, return; again"
"*baliw₃","acd-s_b.htm#558","cluster (c) == don mourning apparel; mourn for a deceased spouse"
"*baliw₄","acd-s_b.htm#557","cluster (b) == repay, return in kind; retaliate, take revenge (hence: to equalize a loss or debt)"
"*balizi","acd-s_b.htm#562","kind of grass"
"*balu₁","acd-s_b.htm#590","a plant yielding useful fibers:"
"*balu₂","acd-s_b.htm#592","rice pestle"
"*balu₃","acd-s_b.htm#593","some, some more"
"*balu₄","acd-s_b.htm#596","widow(er)"
"*baluj","acd-s_b.htm#710","a dove: probably  spp."
"*baluk₁","acd-s_b.htm#574","kind of sailing boat"
"*baluk₂","acd-s_b.htm#575","to sell"
"*balun₅","acd-s_b.htm#579","bind, bundle, wrap in cloth; death shroud; cloth(ing)"
"*balunuR","acd-s_b.htm#9114","a tree with edible fruit, and medicinal uses, probably"
"*baluq","acd-s_b.htm#584","mourn the dead"
"*balut₁","acd-s_b.htm#587","mix"
"*banah","acd-s_b.htm#615","husband"
"*banaqaR","acd-s_b.htm#610","radiance, as of rising sun"
"*banaR₁","acd-s_b.htm#612","a thorny vine:  spp."
"*banaRu","acd-s_b.htm#11262","the Indian tulip tree:"
"*banaw","acd-s_b.htm#620","a thorny vine:  spp."
"*banaw","acd-s_b.htm#9239","lake"
"*banua","acd-s_b.htm#631","inhabited land, territory supporting the life of a community"
"*baNiC","acd-s_b.htm#627","to skin, flay"
"*bañaw","acd-s_b.htm#755","wash the hands"
"*baŋa₂","acd-s_b.htm#762","wide open"
"*baŋaw","acd-s_b.htm#760","paddy bug, foul-smelling insect that preys on rice in the field"
"*baŋbaŋ₂","acd-s_b.htm#767","butterfly, moth; butterfly fish"
"*baŋbaŋ₃","acd-s_b.htm#768","cavity, pit, den; to excavate a pit"
"*baŋbaŋ₅","acd-s_b.htm#771","fish sp."
"*baŋbaŋ₆","acd-s_b.htm#773","loud resounding sound"
"*baŋehih","acd-s_b.htm#10960","fragrant"
"*baŋelih","acd-s_b.htm#10959","tusk, canine tooth"
"*baŋ(e)qeR₂","acd-s_b.htm#802","rotten smell, stench (as of stagnant water)"
"*baŋ(e)qes","acd-s_b.htm#803","unpleasant smell"
"*baŋi₁","acd-s_b.htm#780","bait"
"*baŋi₂","acd-s_b.htm#781","cook over a fire"
"*baŋun₂","acd-s_b.htm#788","wake someone, rouse someone from sleep; erect something, put something in an upright position"
"*baqagi","acd-s_b.htm#638","share, portion, inheritance; to allot, divide property"
"*baqak₁","acd-s_b.htm#639","split, break off"
"*baqas","acd-s_b.htm#640","split lengthwise"
"*baqbaq","acd-s_b.htm#642","mouth, opening; speak, say"
"*baqeRu","acd-s_b.htm#646","new, fresh; recent(ly); youth, bachelor; beautiful, in one's prime"
"*baqi","acd-s_b.htm#6438","grandmother"
"*baquR","acd-s_b.htm#651","trigger of a tension-set trap"
"*bara₁","acd-s_b.htm#677","pen, enclosure for domesticated animals"
"*bara₂","acd-s_b.htm#679","support beams in a house"
"*barabara₁","acd-s_b.htm#680","support beams in a house"
"*baran","acd-s_b.htm#660","mollusk sp."
"*baraŋ₁","acd-s_b.htm#690","marker of indefiniteness: if, perhaps, hopefully; or; any"
"*baraq","acd-s_b.htm#661","disaster"
"*barat₁","acd-s_b.htm#668","crossbeam"
"*barbar","acd-s_b.htm#693","spread out, unfurl"
"*barik","acd-s_b.htm#700","striped, streaked"
"*baruk","acd-s_b.htm#712","fungus that grows on the sugar palm; tinder"
"*baRa₁","acd-s_b.htm#673","hand, arm"
"*baRa₂","acd-s_b.htm#675","pen, enclosure for domesticated animals"
"*baRah","acd-s_b.htm#653","ember"
"*baRah hapuy","acd-s_b.htm#654","ember, glowing coal"
"*baRani","acd-s_b.htm#657","hero, war-leader; dare to do"
"*baRaq₁","acd-s_b.htm#662","lung"
"*baRat₁","acd-s_b.htm#666","crossbeam"
"*b<aR>eŋbeŋ","acd-s_b.htm#1065","buzzing, droning, humming"
"*baReq","acd-s_b.htm#696","abscess, boil, swelling on the body"
"*baReqaŋ","acd-s_b.htm#694","molar tooth"
"*baRiuS","acd-s_b.htm#702","typhoon"
"*baRiw","acd-s_b.htm#704","beginning to spoil, tainted (of food left uneaten too long)"
"*baRu","acd-s_b.htm#717","a small shore tree:"
"*basbas₁","acd-s_b.htm#720","hit, strike"
"*basbas₂","acd-s_b.htm#721","sprinkle"
"*baseq","acd-s_b.htm#6445","wet; wash clothes"
"*basuq","acd-s_b.htm#6455","to wash"
"*batad","acd-s_b.htm#446","millet or sorghum sp. (unident.)"
"*bataŋ","acd-s_b.htm#6481","tree trunk, fallen tree, log; stem of a plant; \tbody; corpse; self; bridge of the nose; most important or preeminent thing; main course of a river; mushroom or bracket fungus that grows on tree trunks or decaying logs"
"*batek","acd-s_b.htm#728","mottled design, as of a tattoo"
"*batik₂","acd-s_b.htm#7085","grasshopper"
"*bantiŋ","acd-s_b.htm#8331","fling down, dash against"
"*batu","acd-s_b.htm#6486","stone; testicle; kind of banana; numeral classifier for teeth (?)"
"*batu hapuy","acd-s_b.htm#6496","flintstone"
"*batu₂","acd-s_b.htm#6500","kidney"
"*batu₃","acd-s_b.htm#6501","to throw"
"*batu-batu","acd-s_b.htm#6495","stony, gravel"
"*batuk₁","acd-s_b.htm#6664","cough"
"*batuk₃","acd-s_b.htm#6667","skull"
"*bantun","acd-s_b.htm#7086","pull up, as out of a pit or out of water"
"*batuR₁","acd-s_b.htm#730","to plait, weave (as mats, baskets)"
"*bauR","acd-s_b.htm#731","trigger on spring trap"
"*bawbaw","acd-s_b.htm#733","upper surface, top, above"
"*bayaD","acd-s_b.htm#6701","pay"
"*bayu","acd-s_b.htm#6785","to pound rice"
"*bayuR","acd-s_b.htm#738","a tree:  sp."
"*bebak₂","acd-s_b.htm#810","slap, beat on"
"*becik","acd-s_b.htm#817","spatter, fly out in all directions"
"*becit","acd-s_b.htm#818","squeeze, squirt out"
"*bendul","acd-s_b.htm#825","swelling of the body"
"*bejbej₂","acd-s_b.htm#831","wind around"
"*beka","acd-s_b.htm#848","split, crack open"
"*beŋkak","acd-s_b.htm#1080","swell, increase in size"
"*bekaq","acd-s_b.htm#840","split, crack open"
"*be(ŋ)kaR","acd-s_b.htm#1094","to open, as a fist; to blossom, of flowers; split open, break up, dismantle, demolish"
"*beŋkas","acd-s_b.htm#1081","untie, undo"
"*bekas₁","acd-s_b.htm#842","to spring a trap"
"*bekas₂","acd-s_b.htm#843","swift, fast"
"*bekas₃","acd-s_b.htm#844","trace, track, mark, print (as footprint)"
"*bekbek₁","acd-s_b.htm#851","fine particles, powder which results from pounding grains, etc.; pulverize grains"
"*bekbek₂","acd-s_b.htm#855","sound of breaking, etc."
"*bekelaj","acd-s_b.htm#856","spread out, unroll (mats, etc.), open out, unfold (as the hand); wide"
"*bekug","acd-s_b.htm#871","curved, bent"
"*bekuk","acd-s_b.htm#872","curved, bent"
"*bekul₁","acd-s_b.htm#873","curved, bent"
"*bekul₂","acd-s_b.htm#874","snail"
"*beŋkuŋ","acd-s_b.htm#1084","bent, curve, arch"
"*beŋkuq","acd-s_b.htm#1083","bend, curve"
"*bekut","acd-s_b.htm#869","to bend over, bend down (of a person); hunchbacked"
"*belak","acd-s_b.htm#878","crack, split open (as the stomach of a fish)"
"*belaŋ₁","acd-s_b.htm#890","bamboo sp."
"*belaŋ₂","acd-s_b.htm#891","spotted, dappled"
"*belaq","acd-s_b.htm#879","part of something split"
"*belat₁","acd-s_b.htm#886","division, partition, intervening space"
"*belat₂","acd-s_b.htm#887","fish corral"
"*belbel₁","acd-s_b.htm#893","dull, blunt; blocked, plugged; stupid"
"*belbel₂","acd-s_b.htm#895","hydropoesia, bodily swelling caused by water retention"
"*beli","acd-s_b.htm#910","value, price; marriage prestations, brideprice; purchase"
"*beliq₁","acd-s_b.htm#903","to lie, tell a lie"
"*beliq₂","acd-s_b.htm#904","no, not; vetative marker: don't!"
"*belit₂","acd-s_b.htm#906","twist around"
"*belit₃","acd-s_b.htm#908","viscous, sticky"
"*beluk","acd-s_b.htm#918","bend"
"*bena","acd-s_b.htm#924","lower part of a river; tidal bore"
"*bener","acd-s_b.htm#933","true, righteous, honest"
"*be(n)tur","acd-s_b.htm#1086","glutted, sated; swollen (of the belly)"
"*be(n)tuR","acd-s_b.htm#1085","glutted, sated; swollen (of the belly)"
"*benut₁","acd-s_b.htm#948","fibrous husk of coconut"
"*benut₂","acd-s_b.htm#946","pull out, extract"
"*beNelem","acd-s_b.htm#10931","overcast, twilight"
"*beñan","acd-s_b.htm#1050","to sneeze"
"*beŋa₁","acd-s_b.htm#1055","open the mouth"
"*beŋaŋ₁","acd-s_b.htm#1057","disconcert, confuse"
"*beŋaŋ₂","acd-s_b.htm#1058","gape, open the mouth wide; be dazzled, amazed"
"*beŋaŋ₃","acd-s_b.htm#1060","open, spacious"
"*beŋap","acd-s_b.htm#1051","surprised, amazed"
"*beŋaq","acd-s_b.htm#1053","open the mouth"
"*beŋat₁","acd-s_b.htm#1054","split, torn; opening or water passage between two capes of land"
"*beŋbeŋ₁","acd-s_b.htm#1061","blocked, as by a wall or curtain"
"*beŋbeŋ₂","acd-s_b.htm#1064","buzz, hum"
"*beŋbeŋ₃","acd-s_b.htm#1066","overcrowd"
"*beŋbeŋ₄","acd-s_b.htm#10180","butterfly"
"*beŋel","acd-s_b.htm#1068","deaf"
"*beŋi","acd-s_b.htm#1079","fragrance, pleasant odor or smell"
"*beŋis₁","acd-s_b.htm#1075","angry, quarrelsome"
"*beŋis₂","acd-s_b.htm#1077","grin widely, showing the teeth"
"*beŋit","acd-s_b.htm#1078","cry out, as in pain or fear"
"*be(ŋ)kaŋ","acd-s_b.htm#849","spread apart, as the legs, or an unbent fishhook"
"*beŋuŋ","acd-s_b.htm#1091","humming sound"
"*beqbeq","acd-s_b.htm#949","mouth"
"*ber","acd-s_b.htm#992","onomatopoetic for sound of fluttering, flying"
"*beraŋ","acd-s_b.htm#962","width, extent across"
"*berber₁","acd-s_b.htm#963","flutter, flap, sound of rapid wingbeats"
"*berber₂","acd-s_b.htm#964","shiver, tremble"
"*beriq","acd-s_b.htm#973","split, tear open"
"*beRas","acd-s_b.htm#951","rice between harvesting and cooking; husked rice"
"*beRas-an","acd-s_b.htm#952","container in which rice is stored"
"*beRay","acd-s_b.htm#958","give, present gifts to; gift"
"*beRek","acd-s_b.htm#965","domesticated pig"
"*beReŋ","acd-s_b.htm#972","deep grunt or groan"
"*beReqaŋ","acd-s_b.htm#970","molar tooth"
"*beReqat","acd-s_b.htm#967","weight, heaviness, weightiness; difficult; pregnant"
"*beRkes","acd-s_b.htm#976","bundle (as of firewood); package"
"*beRŋaw","acd-s_b.htm#993","bluebottle, large fly"
"*beRŋi","acd-s_b.htm#994","night"
"*beRŋi beRŋi","acd-s_b.htm#1000","nightly, every night"
"*beRŋi-n","acd-s_b.htm#998","night"
"*beRŋi-na","acd-s_b.htm#999","(gloss uncertain)"
"*beRsay","acd-s_b.htm#982","canoe paddle; paddle a canoe"
"*be(R)tas","acd-s_b.htm#1088","tear, rip open (as cloth or stitches), snap (as string)"
"*beRtek","acd-s_b.htm#987","thorn, spur, barb"
"*bes","acd-s_b.htm#1019","whizzing sound"
"*besaq","acd-s_b.htm#1004","wet, wash"
"*besbes","acd-s_b.htm#1005","sound of whirring or whizzing"
"*besek","acd-s_b.htm#1006","crowded"
"*besiq","acd-s_b.htm#1007","split open, burst under pressure"
"*besuR","acd-s_b.htm#1011","satisfied from having eaten enough, satiated"
"*beta₂","acd-s_b.htm#1027","chop down"
"*betak","acd-s_b.htm#1021","split, cleave"
"*betaq₂","acd-s_b.htm#1024","burst, split open"
"*bentas","acd-s_b.htm#937","hack a passage through vegetation, blaze a trail"
"*betaw","acd-s_b.htm#1025","sister (man speaking)"
"*betbet","acd-s_b.htm#1028","beat, thrash"
"*betek₁","acd-s_b.htm#11325","spur or spine on an animal"
"*betem","acd-s_b.htm#1033","millet sp., probably foxtail millet:"
"*benteŋ","acd-s_b.htm#939","extended, stretched taut, put under tension"
"*beteŋ₁","acd-s_b.htm#812","millet sp., probably foxtail millet:"
"*beties","acd-s_b.htm#1035","calf of the leg"
"*betik₁","acd-s_b.htm#1037","snap the fingers; flick with the finger, fillip"
"*betik₂","acd-s_b.htm#814","tattoo"
"*betiq₂","acd-s_b.htm#1039","vulva, vagina"
"*betu","acd-s_b.htm#1041","appear, come into view"
"*betu₂","acd-s_b.htm#1043","explode; explosion (as of a volcano)"
"*betu₃","acd-s_b.htm#821","callus, blister"
"*bentuk","acd-s_b.htm#942","curve"
"*betuŋ₁","acd-s_b.htm#1046","bamboo of very large diameter, probably  sp."
"*betuŋ₂","acd-s_b.htm#1048","booming sound"
"*betus","acd-s_b.htm#1040","burst open, as an overfilled sack"
"*bezak","acd-s_b.htm#1049","step, tread, stamp on"
"*biaR₁","acd-s_b.htm#1098","intestinal worm"
"*biat","acd-s_b.htm#12218","draw a bow to its full extent’"
"*bibi₁","acd-s_b.htm#1101","bivalve mollusk sp., lucine clam"
"*bibiR","acd-s_b.htm#1237","lower lip"
"*bicik","acd-s_b.htm#1104","splash, spatter, splatter"
"*bidak","acd-s_b.htm#1108","open, of the eyes"
"*bidiŋ","acd-s_b.htm#1112","side, edge"
"*biŋkal","acd-s_b.htm#1310","lump or chunk of material"
"*bikaq₁","acd-s_b.htm#1124","open forcibly, force apart (as the eyelids with the fingers)"
"*bikaq₂","acd-s_b.htm#1125","split"
"*biŋkas","acd-s_b.htm#1311","undo, untie, spring a trap"
"*biŋku","acd-s_b.htm#1319","coil, curve, bend, fold; to coil, to curve, to bend, to fold"
"*biŋkuk","acd-s_b.htm#1317","curved, bent"
"*biŋkuŋ","acd-s_b.htm#1321","implement with curved blade: adze; hammerhead shark"
"*bikuq","acd-s_b.htm#1134","bend, curve"
"*bikut","acd-s_b.htm#1135","hunched over"
"*bila₁","acd-s_b.htm#1146","calabash tree:  spp."
"*bilaj","acd-s_b.htm#1136","spread out in the sun to dry"
"*bilak₁","acd-s_b.htm#1138","shine, glitter"
"*bilaŋ₁","acd-s_b.htm#1148","to count, calculate; hold valuable"
"*bilat₁","acd-s_b.htm#1142","open the eyes wide"
"*bilat₂","acd-s_b.htm#1144","scar"
"*bileR","acd-s_b.htm#1158","cataract of the eye"
"*bili","acd-s_b.htm#1169","value, price"
"*bilik","acd-s_b.htm#1161","room"
"*bilikuŋ","acd-s_b.htm#1160","bend, curve"
"*biliŋ","acd-s_b.htm#1171","turn, revolve"
"*bilit","acd-s_b.htm#1168","intertwine (as strands in making rope)"
"*bilu-bilu","acd-s_b.htm#1181","a large marine fish, the jackfish or trevally"
"*biluk","acd-s_b.htm#1175","to wind, curve, turn to the side; to tack, sail into the wind"
"*b<in>ahi","acd-s_b.htm#6941","woman, wife"
"*binaŋa","acd-s_b.htm#1188","mouth of a river, estuary"
"*binaR","acd-s_b.htm#1184","flash of light"
"*binehiq","acd-s_b.htm#1191","seed set aside for the next planting (esp. rice)"
"*b<in>elaq","acd-s_b.htm#881","to have been split, cloven in two"
