"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*bedul","acd-s_b.htm#824","swelling of the body"
"*bejbej₁","acd-s_b.htm#830","wrap around repeatedly, bind by wrapping; bundle of wrapped material"
"*bekas₁","acd-s_b.htm#842","to spring a trap"
"*bekas₂","acd-s_b.htm#843","swift, fast"
"*bekbek₂","acd-s_b.htm#855","sound of breaking, etc."
"*bekuC","acd-s_b.htm#868","to bend over, bend down (of a person); hunchbacked"
"*belaq","acd-s_b.htm#879","part of something split"
"*beli","acd-s_b.htm#909","to buy"
"*benan","acd-f_b.htm#7228","deer of the genus , either the sika deer or sambar deer"
"*beNbeN","acd-f_b.htm#6559","banana:  L."
"*beNelem","acd-s_b.htm#10931","overcast, twilight"
"*beNuC","acd-s_b.htm#945","pull out, extract"
"*beŋbeŋ₁","acd-s_b.htm#1061","blocked, as by a wall or curtain"
"*beŋbeŋ₂","acd-s_b.htm#1064","buzz, hum"
"*beriq","acd-s_b.htm#973","split, tear open"
"*beRas","acd-s_b.htm#950","rice between harvesting and cooking; husked rice"
"*beRas-an","acd-s_b.htm#952","container in which rice is stored"
"*beRay","acd-s_b.htm#957","give"
"*beRek","acd-s_b.htm#965","domesticated pig"
"*beReqaŋ","acd-s_b.htm#970","molar tooth"
"*beRŋaw","acd-s_b.htm#993","bluebottle, large fly"
"*beRŋi-n","acd-s_b.htm#998","night"
"*beRuS","acd-f_b.htm#6560","a plant:"
"*bes","acd-s_b.htm#1019","whizzing sound"
"*besuR","acd-s_b.htm#1011","satisfied from having eaten enough, satiated"
"*betak","acd-s_b.htm#1020","crack, split open (as dry ground)"
"*beties","acd-s_b.htm#1035","calf of the leg"
"*betik₁","acd-s_b.htm#1037","snap the fingers; flick with the finger, fillip"
"*betuŋ₁","acd-s_b.htm#1046","bamboo of very large diameter, probably  sp."
"*biaC","acd-s_b.htm#1096","draw a bow to its full extent"
"*biCuka","acd-s_b.htm#1106","stomach"
"*bilaŋ₁","acd-s_b.htm#1148","to count, calculate; hold valuable"
"*biliN","acd-f_b.htm#7115","to follow after someone, walk behind"
"*b<in>ahi","acd-s_b.htm#6941","woman, wife"
"*b<in>eCik","acd-s_b.htm#815","tattooed, marked with a design"
"*b<in>elaq","acd-s_b.htm#881","to have been split, cloven in two"
"*bineSiq","acd-s_b.htm#1190","seed set aside for the next planting"
"*b<in>uRuk","acd-s_b.htm#1771","to have become rotten"
"*biNiC","acd-s_b.htm#1194","hold in the hand"
"*biŋiC","acd-s_b.htm#1309","moody, irritable"
"*biqel","acd-s_b.htm#6463","goiter"
"*biqiR","acd-s_b.htm#1213","lopsided, off-balance"
"*biqut","acd-s_b.htm#1215","curved, crooked, bent"
"*biraŋ","acd-s_b.htm#1234","anger, angry"
"*birbir₂","acd-s_b.htm#1240","shiver, shake, tremble"
"*biriC","acd-s_b.htm#1242","to tear, rip"
"*biRaq₁","acd-s_b.htm#1218","wild taro, elephant's ear or itching taro,  spp."
"*biRaS","acd-s_b.htm#1224","roe, fish eggs"
"*biRaSu","acd-s_b.htm#1223","cane grass,  sp."
"*biRbiR","acd-s_b.htm#1235","lip"
"*bisuR","acd-s_b.htm#1269","satisfied from having eaten enough, satiated"
"*bitbit₁","acd-s_b.htm#1278","pull at some part of the body"
"*bituqen","acd-s_b.htm#1295","star"
"*bua₁","acd-s_b.htm#1356","foam, bubbles, froth"
"*buak","acd-s_b.htm#1325","bubbling up (as spring water)"
"*bual₁","acd-s_b.htm#1327","spring, source of fresh water"
"*buaq","acd-s_b.htm#1329","fruit"
"*buay₂","acd-s_b.htm#1355","(gloss uncertain)"
"*bubu₂","acd-s_b.htm#1366","conical bamboo basket trap for fish"
"*bubu₆","acd-s_b.htm#1370","grandparent/grandchild (reciprocal term of address)"
"*bubuR₁","acd-s_b.htm#1365","jellyfish"
"*buCa","acd-s_b.htm#1381","mote in the eye; blind; blindness"
"*buCa-en maCa","acd-s_b.htm#1386","get a mote in the eye"
"*buCaq","acd-s_b.htm#1380","foam, froth"
"*buCbuC","acd-s_b.htm#1393","pull up (as weeds), pluck (as feathers)"
"*buCu","acd-s_b.htm#1405","callus, corn; blister"
"*buCuq","acd-s_b.htm#1401","testicles"
"*buhaŋ","acd-s_b.htm#1449","hole, pit"
"*buhet","acd-s_b.htm#1450","squirrel"
"*bujeq₁","acd-s_b.htm#1466","foam, bubbles, lather, scum, froth"
"*bukas","acd-s_b.htm#6713","release, undo"
"*bukeS","acd-s_b.htm#1499","head hair"
"*bukij","acd-s_b.htm#1506","mountain; forested inland mountain areas"
"*bukuN","acd-f_b.htm#9177","back (anat.)"
"*bula₂","acd-f_b.htm#7305","to give"
"*bulaN","acd-s_b.htm#1533","moon, month; menstruation"
"*bulaR₁","acd-s_b.htm#1552","cataract of the eye; hazy or blurred vision"
"*bulaw","acd-s_b.htm#1560","golden colored"
"*bulaw-an","acd-s_b.htm#1561","gold"
"*bulbul","acd-s_b.htm#1568","dust, pulverized stone"
"*buled₁","acd-s_b.htm#1570","mountain"
"*buleS","acd-s_b.htm#12773","a tree, the Chinese or Philippine mahogany:  Foxw."
"*buli-","acd-s_b.htm#1591","prefix of the *qali, *kali- series"
"*bulilik","acd-s_b.htm#1580","lizard sp."
"*buluN","acd-s_b.htm#1597","companion"
"*buluq₂","acd-s_b.htm#1601","type of slender bamboo;  spp."
"*b<um>aliw","acd-f_b.htm#6558","buy"
"*b<um>asuq","acd-s_b.htm#6456","to wash"
"*bunabun","acd-s_b.htm#1632","rice seedling"
"*bunaj","acd-s_b.htm#11687","sand"
"*bunuR₁","acd-f_b.htm#7293","to swell; swollen"
"*bunuS","acd-f_b.htm#6561","machete"
"*buNbuN","acd-s_b.htm#1638","fontanelle; crown of the head"
"*buNi","acd-s_b.htm#1647","to hide, conceal"
"*buNuq₁","acd-s_b.htm#1681","a constellation: the Pleiades"
"*buNuq₂","acd-s_b.htm#1684","throw at, hit with a projectile"
"*buŋa","acd-s_b.htm#7349","flower, blossom"
"*buŋuh","acd-s_b.htm#12775","head"
"*buŋuR","acd-s_b.htm#1913","tree sp."
"*buqaya","acd-s_b.htm#1710","crocodile"
"*buRaw","acd-s_b.htm#1737","drive off, chase away, expel"
"*buRay","acd-f_b.htm#7417","flower"
"*buReS","acd-s_b.htm#1751","spray water from the mouth"
"*buRuk","acd-s_b.htm#1770","rotten meat; addled eggs; bad character"
"*busuR₁","acd-s_b.htm#1796","enemy"
"*busuR₂","acd-s_b.htm#1797","hunting bow"
"*buSuk","acd-s_b.htm#1786","drunkenness, intoxication"
"*buuŋ","acd-s_b.htm#1850","buzzing or humming sound"
"*CabCab","acd-s_c2.htm#1935","clap, beat, hack"
"*Cabu","acd-f_c2.htm#6635","to wrap"
"*Ca-Capuh","acd-f_c2.htm#6563","broom"
"*Ca-CaqiS","acd-s_c2.htm#1999","thread used for sewing (?)"
"*CaCaw","acd-s_c2.htm#1936","pupil of the eye"
"*Ca-Cawa","acd-s_c2.htm#2025","to laugh"
"*Cakaw","acd-s_c2.htm#1937","steal"
"*Cakaw-an","acd-s_c2.htm#1950","(gloss uncertain)"
"*Caki","acd-s_c2.htm#1955","feces, excreta"
"*Cali","acd-f_c2.htm#6621","cultivated taro:"
"*Caliŋa","acd-s_c2.htm#1973","ear"
"*Caliŋa nu kaSiw","acd-s_c2.htm#1975","wood ear, semicircular edible fungus which grows on tree trunks"
"*CaliS","acd-s_c2.htm#1959","rope, cord, twine, string"
"*CaluN","acd-s_c2.htm#1977","fallow land; secondary forest"
"*CaNem","acd-s_c2.htm#7437","grave; to bury"
"*CaNem-en","acd-s_c2.htm#7451","what is buried or planted"
"*CaNum","acd-s_c2.htm#7454","carry water"
"*Caŋelaj","acd-s_c2.htm#10710","elephant grass, miscanthus grass:"
"*Caŋila","acd-s_c2.htm#2037","ear"
"*Caŋis","acd-s_c2.htm#2039","weep, cry; mourn; to beseech"
"*Caŋis-an","acd-s_c2.htm#7774","to cry over something or someone"
"*Capa","acd-s_c2.htm#1981","to smoke fish or meat for preservation"
"*Capaŋ","acd-s_c2.htm#1988","a patch, as on clothing"
"*Capel","acd-s_c2.htm#1990","a patch; to patch"
"*Capuh","acd-f_c2.htm#6562","sweep"
"*Caqi","acd-s_c2.htm#2004","feces, excrement"
"*CaqiS","acd-s_c2.htm#1997","to sew"
"*CaqiS-an","acd-s_c2.htm#2000","place of sewing"
"*Caqu","acd-s_c2.htm#7838","to know how, be able to, be skilled at"
"*Caqu-an","acd-s_c2.htm#7843","(gloss uncertain)"
"*CaSaw","acd-s_c2.htm#2011","open-air; outdoors"
"*Cau","acd-s_c2.htm#2014","person, human being"
"*Cau Cau","acd-s_c2.htm#2021","(gloss uncertain)"
"*Cau nu maCa","acd-s_m.htm#8614","pupil of the eye (‘person of the eye’)"
"*Cawa","acd-s_c2.htm#2023","to laugh"
"*CawiN","acd-f_c2.htm#6564","year"
"*Cazem","acd-s_c2.htm#2032","sharp (of point or blade)"
"*Cebak","acd-s_c2.htm#2048","smack against"
"*Cebej","acd-s_c2.htm#12122","spring of water, spring water"
"*Cebiq","acd-s_c2.htm#6538","split, divide, break off"
"*Cebuj","acd-s_c2.htm#2050","natural spring, fresh water spring"
"*Cebuk","acd-s_c2.htm#2052","thud"
"*CebuN","acd-f_c2.htm#6637","smoke"
"*Cebuŋ","acd-f_c2.htm#7116","to meet, come together"
"*CebuS","acd-s_c2.htm#2054","sugarcane:"
"*CegCeg","acd-s_c2.htm#2056","beat, pound, hit"
"*CegCeg","acd-s_c2.htm#5459","to beat, pound on"
"*CekCek","acd-s_c2.htm#2059","pierce, penetrate"
"*Ceked","acd-f_c2.htm#11688","to rest, take a break from work or other activity"
"*CekeS","acd-f_c2.htm#6622","kind of very slender bamboo"
"*Celaq","acd-s_c2.htm#2063","crack, split, fissure"
"*CelCel","acd-s_c2.htm#2065","beat, pound"
"*Ceme-Cemel","acd-f_c2.htm#6566","uncultivated land"
"*Cemel","acd-f_c2.htm#6565","grass, herbs; medicine"
"*Cenek","acd-s_c2.htm#2069","thorn"
"*CeRab","acd-s_c2.htm#2072","a belch"
"*Cesek","acd-s_c2.htm#2077","insert, pierce, penetrate"
"*Cidu","acd-s_c2.htm#2083","spoon, ladle, dipper"
"*Cikel","acd-s_c2.htm#2088","return, go back"
"*C<in>akaw","acd-s_c2.htm#1948","what is stolen, stolen goods; was stolen (past tense of direct passive)"
"*C<in>aliS","acd-s_c2.htm#1965","was made into rope; what was made into rope"
"*C<in>apa","acd-s_c2.htm#1986","smoked fish or meat"
"*C<in>aqi","acd-s_c2.htm#2006","small intestine"
"*C<in>aqiS","acd-s_c2.htm#2003","work produced by sewing or stitching"
"*C<in>uNuh","acd-s_c2.htm#2125","be roasted (by someone)"
"*CiŋaS","acd-s_c2.htm#2098","food particles caught between the teeth"
"*Ciqaw","acd-s_c2.htm#2094","fish sp."
"*-Cu","acd-s_c2.htm#2168","2pl deixis and spatio-temporal reference: that; there, then"
"*Cubuq","acd-s_c2.htm#2106","plant sprout"
"*CugCug₁","acd-s_c2.htm#2113","hit something against something else"
"*CugCug₂","acd-s_c2.htm#7931","knock or bump the head"
"*Cukul","acd-s_c2.htm#5706","huddle, bow the head"
"*Culi","acd-s_c2.htm#6917","deaf"
"*C<um>abu","acd-f_c2.htm#6636","to wrap"
"*C<um>aki","acd-s_c2.htm#1957","defecate"
"*C<um>aliS","acd-s_c2.htm#1967","to tie with rope, fasten with rope"
"*C<um>aŋis","acd-s_c2.htm#7773","to weep, cry, mourn"
"*C<um>apu","acd-f_c2.htm#9609","to sweep"
"*C<um>aqi","acd-s_c2.htm#2008","to defecate"
"*C<um>aqiS","acd-s_c2.htm#2002","to sew"
"*Cumay","acd-f_c2.htm#6567","Formosan black bear"
"*Cumek","acd-s_c2.htm#2118","pulverize; crumble"
"*CumeS","acd-s_c2.htm#2119","clothes louse; body louse"
"*C<um>ubuq","acd-s_c2.htm#2108","to sprout, to grow"
"*C<um>ugCug","acd-s_c2.htm#7933","knock or bump the head"
"*C<um>uNuh","acd-s_c2.htm#2127","to roast (intr.)"
"*C<um>uSuR","acd-s_c2.htm#2153","to string beads, etc."
"*CuNuh","acd-s_c2.htm#2122","roast food over a fire"
"*CuNuh-an","acd-s_c2.htm#2129","to roast"
"*CuŋCuŋ","acd-s_c2.htm#10559","make a booming sound"
"*CuqelaN","acd-s_c2.htm#2143","condylar bone; bone of fauna exclusive of fish"
"*CuquR","acd-s_c2.htm#12726","a tree:"
"*Curis","acd-s_c2.htm#2146","scratch a line"
"*CuSuR","acd-s_c2.htm#2149","string together, as beads"
"*CuSuR-en","acd-s_c2.htm#2152","be strung, be skewered"
"*Cuzuq","acd-s_c2.htm#10560","index finger"
"*da","acd-s_d.htm#8797","locative case marker (probably for plural personal names; cf. *di, *du)"
"*da-amax","acd-s_a1.htm#135","father"
"*dadaN","acd-s_d.htm#7018","old, of things; ancient times"
"*da-duSa","acd-s_d.htm#7877","two, of people"
"*dajam","acd-s_d.htm#2181","accustomed to, tame"
"*dajem","acd-s_d.htm#2183","chills, as of malaria"
"*dakep","acd-s_d.htm#7077","catch, seize; embrace"
"*dakep-en","acd-s_d.htm#7080","be caught, captured"
"*dakeS","acd-f_d.htm#6682","a tree: the camphor laurel:  spp."
"*daki","acd-s_d.htm#6611","dirt on skin; dandruff"
"*dakiS","acd-s_d.htm#6612","climb, ascend"
"*dakuC","acd-s_d.htm#2186","snatch, grab"
"*dalayap","acd-s_d.htm#6856","kind of citrus tree and fruit"
"*dalem","acd-s_d.htm#7088","in, inside; deep"
"*damaR₁","acd-s_d.htm#8079","tree resin used in torches (?)"
"*damuq₁","acd-f_d.htm#6723","menstrual blood?"
"*damuq₂","acd-s_d.htm#12776","dew"
"*danaw","acd-s_d.htm#7109","lake"
"*danum-an","acd-s_d.htm#7463","(gloss uncertain)"
"*daNi","acd-s_d.htm#12187","soon, presently; almost"
"*daNum","acd-s_d.htm#7456","fresh water"
"*daŋdaŋ₁","acd-s_d.htm#6963","broil; warm oneself or something near a fire"
"*daŋdaŋ-an","acd-s_d.htm#6969","place something near a fire"
"*dapa","acd-s_d.htm#2210","palm of the hand"
"*dapaN","acd-s_d.htm#6704","sole of the foot; footprint"
"*dapuR₂","acd-s_d.htm#12082","pile up, as stones"
"*daqaN","acd-s_d.htm#7020","old, ancient"
"*daqaNi","acd-s_d.htm#2197","day"
"*daqiS","acd-s_d.htm#6464","forehead; face"
"*daqu₂","acd-f_d.htm#6568","soapberry: ,"
"*daRa₁","acd-f_d.htm#6569","Formosan maple:"
"*daRaq","acd-s_d.htm#7205","blood; to bleed; menstruate"
"*daReq","acd-s_d.htm#2200","soil, probably clay"
"*daRiŋ","acd-s_d.htm#2202","groan, moan"
"*daRiq","acd-f_d.htm#8900","soil, probably clay"
"*daSdaS","acd-s_d.htm#2203","chest (anat.)"
"*dataR","acd-s_d.htm#7564","flat, flat or level land"
"*dawiN","acd-f_d.htm#6634","far"
"*daya","acd-s_d.htm#7210","upriver, toward the interior"
"*debdeb","acd-s_d.htm#2216","chest"
"*dekdek₂","acd-s_d.htm#12798","to tamp down, compact something"
"*dekeC","acd-s_d.htm#8087","paste, adhesive (probably made of overcooked rice)"
"*dekep","acd-s_d.htm#2222","embrace"
"*dekiŋ","acd-s_d.htm#2223","to bark, of a deer"
"*deles","acd-s_d.htm#2226","bowstring"
"*demdem₁","acd-s_d.htm#2227","brood, hold a grudge, remember, keep still"
"*demdem₂","acd-s_d.htm#7567","gloom, darkness; dark, overcast, gloomy"
"*deŋdeŋ₂","acd-s_d.htm#12084","thunder; roaring or thunderous sound"
"*deŋeR","acd-s_d.htm#8248","to hear; sound"
"*depah","acd-s_d.htm#7748","fathom"
"*depuŋ","acd-s_d.htm#2230","venomous snake"
"*deruŋ","acd-s_d.htm#2237","deep booming sound"
"*deRdeR","acd-s_d.htm#2232","thunder"
"*deRuŋ₁","acd-s_d.htm#2238","distant rolling thunder"
"*detdet","acd-s_d.htm#7329","packed tightly together"
"*di","acd-s_d.htm#8796","locative case marker (probably for singular personal names;  *, *)"
"*dikeC","acd-s_d.htm#2248","sticky, adhesive"
"*dikit","acd-s_d.htm#2249","little, few, small in amount"
"*dilaq₁","acd-s_d.htm#7129","to lick"
"*di-ni","acd-s_n1.htm#3678","here"
"*diNaŋ","acd-f_d.htm#7117","rust; hematite"
"*diRi","acd-s_d.htm#7383","to stand"
"*diRus","acd-s_d.htm#7330","bathe"
"*disdis","acd-s_d.htm#2256","cut, slice"
"*diteq","acd-s_d.htm#2258","sticky substance"
"*dua","acd-f_d.htm#7323","over there, yonder"
"*du-duSa","acd-s_d.htm#7879","(gloss uncertain)"
"*duhduh","acd-s_d.htm#2269","thunder"
"*dukduk₁","acd-f_d.htm#6708","ginger"
"*dukduk₄","acd-s_d.htm#12793","to thrust into a hole, as a stick to catch a crab"
"*du(ŋ)kuŋ","acd-s_d.htm#2284","bend, curve"
"*duma","acd-s_d.htm#7685","someone; other people; be different"
"*d<um>akep","acd-s_d.htm#7079","to catch, capture; embrace"
"*d<um>akiS","acd-s_d.htm#6613","climb, ascend"
"*d<um>ilaq","acd-s_d.htm#7131","to lick"
"*duRi","acd-s_d.htm#6825","thorn"
"*duSa","acd-s_d.htm#7874","two"
"*duSa duSa","acd-s_d.htm#7909","two by two, two at a time; two each"
"*duSa-en","acd-s_d.htm#7906","be divided into two"
"*edem₂","acd-s_e1.htm#2298","soak, dye"
"*-en","acd-s_e1.htm#2381","verbal suffix marking patient or undergoer voice; nominal suffix marking product of an action or thing affected by an action"
"*enem","acd-s_e1.htm#2361","six"
"*esa","acd-s_e1.htm#2406","one"
"*gaCel","acd-s_g.htm#7150","itch, feel itchy"
"*garaŋ₁","acd-s_g.htm#8842","fierce, intense, as of appetite or temper"
"*garuC","acd-s_g.htm#8580","comb"
"*gaRaŋ","acd-s_g.htm#3069","small edible freshwater crab"
"*gayaŋ","acd-s_g.htm#7611","hunting spear"
"*geCel","acd-s_g.htm#9002","to pinch"
"*gemel","acd-s_g.htm#2489","take in the hand, clasp, grasp"
"*gemgem","acd-s_g.htm#7612","fist; hold in the fist"
"*gereC","acd-s_g.htm#2500","slit an animal's throat"
"*gerger₁","acd-s_g.htm#2501","shake, shiver, tremble"
"*geriC","acd-s_g.htm#2503","sound of ripping, gnawing, etc."
"*getil","acd-s_g.htm#9004","to pinch"
"*giŋgiŋ","acd-s_g.htm#8237","cold, shivering"
"*giRiŋ","acd-s_g.htm#2519","ringing sound"
"*gisgis₁","acd-s_g.htm#2520","rub, scrape against"
"*guCguC₁","acd-s_g.htm#2523","pluck, pull out"
"*guCguC₂","acd-s_g.htm#12717","to scratch, as an itch"
"*guŋguŋ","acd-s_g.htm#2537","deep resounding sound"
"*g<um>aruC","acd-s_g.htm#8583","to comb"
"*gumuN","acd-f_g.htm#8876","body hair"
"*gurgur₁","acd-s_g.htm#2526","sound of boiling water"
"*guris","acd-s_g.htm#8265","line; scratch a line"
"*guRiCa","acd-s_g.htm#7148","octopus"
"*gusgus","acd-s_g.htm#2531","to scrape, scratch, rub"
"*gusi","acd-s_g.htm#2532","gums"
"*guSam","acd-s_g.htm#7489","a fungal disease of the oral tract: thrush"
"*gutgut₁","acd-s_g.htm#2524","front teeth, incisors"
"*haŋut","acd-s_s2.htm#2633","smell, odor"
"*hesek₂","acd-s_h.htm#12244","drive in stakes or posts"
"*hisep","acd-s_h.htm#2705","suck, inhale"
"*hukaq","acd-s_h.htm#2730","loosen, open"
"*hulhul₁","acd-s_h.htm#7237","to bark, of a dog"
"*huRaC","acd-s_h.htm#5840","artery, blood vessel, blood vein; muscle; nerve; sinew; tendon"
"*i aCas","acd-s_a1.htm#28","above, on top"
"*i babaw","acd-s_b.htm#430","above, on top of"
"*-i₁","acd-s_i1.htm#3033","imperative suffix"
"*i₁","acd-s_i1.htm#3029","exclamation of wonder, disgust, etc."
"*i₂","acd-s_i1.htm#3030","generic marker of location in space or time"
"*i₃","acd-s_i1.htm#3031","personal article"
"*ia₁","acd-s_i1.htm#2785","3sg. personal pronoun: he, she; him, her, it"
"*i-aku","acd-s_a1.htm#11661","1sg., I, me"
"*i-amen","acd-s_a1.htm#12091","1pl.ex oblique"
"*i-ami","acd-s_a1.htm#9703","1pl. excl. nominative, we"
"*ian₂","acd-s_i1.htm#2775","dwell, reside, live in a place"
"*ia-ni","acd-s_n1.htm#3680","this; here"
"*ibaS","acd-s_i1.htm#2792","companion, close relative, other one"
"*i-Cu","acd-s_c2.htm#2172","that (2p)"
"*idas₁","acd-s_i1.htm#2814","affine of Ego's generation"
"*ijan","acd-s_i1.htm#2827","when?"
"*i-kaSu","acd-s_k.htm#9766","2sg., you"
"*ikuD","acd-s_i1.htm#2839","to follow"
"*ikud","acd-s_i1.htm#10690","to sit"
